,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
76,37.71,-122.4525,Night,1.0,7.0,1.0,5.0,1.0,0.0,3.0,Outer Mission
77,37.71,-122.45,Afternoon,10.0,5.0,2.0,3.0,4.0,0.0,2.0,Outer Mission
78,37.71,-122.45,Evening,4.0,18.0,3.0,2.0,5.0,0.0,4.0,Outer Mission
79,37.71,-122.45,Morning,5.0,10.0,1.0,2.0,0.0,0.0,1.0,Outer Mission
80,37.71,-122.45,Night,9.0,5.0,0.0,2.0,0.0,0.0,1.0,Outer Mission
81,37.71,-122.4475,Afternoon,10.0,9.0,4.0,5.0,7.0,0.0,1.0,Excelsior
82,37.71,-122.4475,Evening,2.0,5.0,2.0,6.0,4.0,0.0,2.0,Excelsior
83,37.71,-122.4475,Morning,12.0,7.0,2.0,2.0,1.0,0.0,2.0,Excelsior
84,37.71,-122.4475,Night,2.0,1.0,2.0,0.0,2.0,0.0,0.0,Excelsior
85,37.71,-122.44500000000001,Afternoon,3.0,5.0,1.0,0.0,0.0,0.0,1.0,Excelsior
86,37.71,-122.44500000000001,Evening,0.0,5.0,1.0,0.0,0.0,0.0,0.0,Excelsior
87,37.71,-122.44500000000001,Morning,1.0,3.0,1.0,1.0,1.0,0.0,1.0,Excelsior
88,37.71,-122.44500000000001,Night,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Excelsior
89,37.71,-122.4425,Afternoon,3.0,8.0,3.0,0.0,1.0,0.0,0.0,Excelsior
90,37.71,-122.4425,Evening,1.0,7.0,1.0,0.0,1.0,0.0,2.0,Excelsior
91,37.71,-122.4425,Morning,1.0,8.0,2.0,2.0,0.0,0.0,0.0,Excelsior
92,37.71,-122.4425,Night,0.0,4.0,0.0,0.0,1.0,0.0,0.0,Excelsior
93,37.71,-122.44,Afternoon,5.0,7.0,2.0,2.0,4.0,0.0,1.0,Excelsior
94,37.71,-122.44,Evening,2.0,9.0,2.0,1.0,4.0,0.0,1.0,Excelsior
95,37.71,-122.44,Morning,3.0,14.0,0.0,3.0,1.0,0.0,2.0,Excelsior
96,37.71,-122.44,Night,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Excelsior
97,37.71,-122.4375,Afternoon,3.0,4.0,5.0,0.0,3.0,0.0,1.0,Excelsior
98,37.71,-122.4375,Evening,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Excelsior
99,37.71,-122.4375,Morning,3.0,14.0,4.0,1.0,1.0,0.0,4.0,Excelsior
100,37.71,-122.4375,Night,0.0,7.0,0.0,1.0,1.0,0.0,0.0,Excelsior
101,37.71,-122.435,Afternoon,3.0,2.0,2.0,4.0,3.0,0.0,2.0,Excelsior
102,37.71,-122.435,Evening,5.0,3.0,1.0,1.0,2.0,0.0,1.0,Excelsior
